Name,Designation,Company
John Ellis,Managing Director,Nexus Vehicle Rental
"Ian Dunn MSOE, MIRTE, ACIPD",Group Commercial Director,AMT Vehicle Group
David Walsh,Head of IT Commercial,Driver and Vehicle Licensing Agency (DVLA)
Myrna Thomas,Commercial Manager,Driver and Vehicle Licensing Agency (DVLA)
Ian Phillips,Director,Adept Vehicle Management
John Crichton,CFO and Commercial Director,Aston Barclay Vehicle Remarketing
Nigel Kerr,Commercial Director,Logical Vehicle Management Limited
Nick Staples,Commercial Director,Vehicle Replacement Network Ltd
Richard Cox,Owner Commercial Director,RGVA Vehicle Branding
Gillian Fortune,Commercial Manager,VMS Vehicle Hire
Imesh Parmar,Commercial Director,Vehicle Replacement Group
Tristan Savage,Commercial Director,Falcon Vehicle Solutions
Phil Ayton,Commercial Manager,Concept Vehicle Leasing
Kelly Longmuir,Commercial Director,Total Motion Vehicle Management
Ian Whitham,Commercial Manager,CASTLE VEHICLE LEASING HOLDINGS LIMITED
babak TAFAZZOLI,Commercial Director,Renault Vehicle Innovation
Jason Rogerson,Commercial Director,Herd Business Vehicle Hire
Robert James,Commercial Manager,Vision Vehicle Solutions
Nigel Blackwell,Commercial Director,RL Vehicle Management Solutions
Rebecca Jakeman,Commercial vehicle Account Controller,Commercial Vehicle Auctions Ltd
Patrick Macadam,Commercial Director,XLCR Vehicle Management (thebestcardeals.co.uk)
Paul Watson,UK Commercial Director,Doosan Industrial Vehicle UK Ltd
Nick Jackson,Sales Manager Commercial Vehicles,Nationwide Vehicle Contracts Ltd
Paul Brown,Commercial Director,Refuse Vehicle Solutions
Stephen Allport,Design Engineer,Babcock Vehicle Engineering
undefinedName,Designation,Company
John Ellis,Managing Director,Nexus Vehicle Rental
"Ian Dunn MSOE, MIRTE, ACIPD",Group Commercial Director,AMT Vehicle Group
David Walsh,Head of IT Commercial,Driver and Vehicle Licensing Agency (DVLA)
Myrna Thomas,Commercial Manager,Driver and Vehicle Licensing Agency (DVLA)
Ian Phillips,Director,Adept Vehicle Management
John Crichton,CFO and Commercial Director,Aston Barclay Vehicle Remarketing
Nigel Kerr,Commercial Director,Logical Vehicle Management Limited
Nick Staples,Commercial Director,Vehicle Replacement Network Ltd
Richard Cox,Owner Commercial Director,RGVA Vehicle Branding
Gillian Fortune,Commercial Manager,VMS Vehicle Hire
Imesh Parmar,Commercial Director,Vehicle Replacement Group
Tristan Savage,Commercial Director,Falcon Vehicle Solutions
Phil Ayton,Commercial Manager,Concept Vehicle Leasing
Kelly Longmuir,Commercial Director,Total Motion Vehicle Management
Ian Whitham,Commercial Manager,CASTLE VEHICLE LEASING HOLDINGS LIMITED
babak TAFAZZOLI,Commercial Director,Renault Vehicle Innovation
Jason Rogerson,Commercial Director,Herd Business Vehicle Hire
Robert James,Commercial Manager,Vision Vehicle Solutions
Nigel Blackwell,Commercial Director,RL Vehicle Management Solutions
Rebecca Jakeman,Commercial vehicle Account Controller,Commercial Vehicle Auctions Ltd
Patrick Macadam,Commercial Director,XLCR Vehicle Management (thebestcardeals.co.uk)
Paul Watson,UK Commercial Director,Doosan Industrial Vehicle UK Ltd
Nick Jackson,Sales Manager Commercial Vehicles,Nationwide Vehicle Contracts Ltd
Paul Brown,Commercial Director,Refuse Vehicle Solutions
Stephen Allport,Design Engineer,Babcock Vehicle Engineering
